Region,County,First Dose,Series Complete,Report as of
Mid-Hudson,Westchester,100931,38243,02/06/2021
Finger Lakes,Wyoming,3372,1306,02/06/2021
Finger Lakes,Yates,2270,660,02/06/2021
Capital Region,Albany,33723,14501,02/07/2021
Western New York,Allegany,2660,1045,02/07/2021
New York City,Bronx,77750,25480,02/07/2021
Southern Tier,Broome,22676,7496,02/07/2021
Western New York,Cattaraugus,5540,2159,02/07/2021
Central New York,Cayuga,8287,2648,02/07/2021
Western New York,Chautauqua,10487,3555,02/07/2021
Southern Tier,Chemung,8027,3137,02/07/2021
Southern Tier,Chenango,3916,1323,02/07/2021
North Country,Clinton,12539,3507,02/07/2021
Capital Region,Columbia,5772,1879,02/07/2021
Central New York,Cortland,4163,1431,02/07/2021
Southern Tier,Delaware,2900,958,02/07/2021
Mid-Hudson,Dutchess,22203,8653,02/07/2021
Western New York,Erie,96940,34211,02/07/2021
North Country,Essex,5292,1422,02/07/2021
North Country,Franklin,6795,2309,02/07/2021
Mohawk Valley,Fulton,4551,1883,02/07/2021
Finger Lakes,Genesee,5464,1508,02/07/2021
Capital Region,Greene,4021,1101,02/07/2021
North Country,Hamilton,1406,193,02/07/2021
Mohawk Valley,Herkimer,6998,2013,02/07/2021
North Country,Jefferson,11461,4052,02/07/2021
New York City,Kings,146503,39286,02/07/2021
North Country,Lewis,2960,928,02/07/2021
Finger Lakes,Livingston,6897,2459,02/07/2021
Central New York,Madison,7531,2948,02/07/2021
Finger Lakes,Monroe,77486,30345,02/07/2021
Mohawk Valley,Montgomery,5111,2105,02/07/2021
Long Island,Nassau,158449,54776,02/07/2021
New York City,New York,178377,55904,02/07/2021
Western New York,Niagara,20385,6775,02/07/2021
Mohawk Valley,Oneida,27843,10281,02/07/2021
Central New York,Onondaga,59755,18469,02/07/2021
Finger Lakes,Ontario,12386,4422,02/07/2021
Mid-Hudson,Orange,22460,9474,02/07/2021
Finger Lakes,Orleans,2770,869,02/07/2021
Central New York,Oswego,12105,3202,02/07/2021
Mohawk Valley,Otsego,6696,2983,02/07/2021
Mid-Hudson,Putnam,8620,3123,02/07/2021
New York City,Queens,165686,46328,02/07/2021
Capital Region,Rensselaer,17400,6298,02/07/2021
New York City,Richmond,47943,11687,02/07/2021
Mid-Hudson,Rockland,30367,9890,02/07/2021
Capital Region,Saratoga,25428,10212,02/07/2021
Capital Region,Schenectady,15763,6612,02/07/2021
Mohawk Valley,Schoharie,2214,709,02/07/2021
Southern Tier,Schuyler,1875,734,02/07/2021
Finger Lakes,Seneca,3179,738,02/07/2021
North Country,St. Lawrence,17056,5213,02/07/2021
Southern Tier,Steuben,6867,2330,02/07/2021
Long Island,Suffolk,131532,52066,02/07/2021
Mid-Hudson,Sullivan,5638,2198,02/07/2021
Southern Tier,Tioga,3488,1268,02/07/2021
Southern Tier,Tompkins,10026,3281,02/07/2021
Mid-Hudson,Ulster,15254,5301,02/07/2021
Capital Region,Warren,7291,2848,02/07/2021
Capital Region,Washington,4782,1779,02/07/2021
Finger Lakes,Wayne,8054,2661,02/07/2021
Mid-Hudson,Westchester,102332,40174,02/07/2021
Finger Lakes,Wyoming,3450,1312,02/07/2021
Finger Lakes,Yates,2290,665,02/07/2021
Capital Region,Albany,34431,15456,02/08/2021
Western New York,Allegany,2673,1159,02/08/2021
New York City,Bronx,79179,27572,02/08/2021
Southern Tier,Broome,23146,7944,02/08/2021
Western New York,Cattaraugus,5581,2398,02/08/2021
Central New York,Cayuga,8410,2740,02/08/2021
Western New York,Chautauqua,10669,3751,02/08/2021
Southern Tier,Chemung,8112,3384,02/08/2021
Southern Tier,Chenango,3987,1374,02/08/2021
North Country,Clinton,12810,3868,02/08/2021
Capital Region,Columbia,5870,1966,02/08/2021
Central New York,Cortland,4239,1524,02/08/2021
Southern Tier,Delaware,2951,971,02/08/2021
Mid-Hudson,Dutchess,22914,9206,02/08/2021
Western New York,Erie,98463,36963,02/08/2021
North Country,Essex,5447,1492,02/08/2021
North Country,Franklin,6964,2491,02/08/2021
Mohawk Valley,Fulton,4611,1931,02/08/2021
Finger Lakes,Genesee,5523,1606,02/08/2021
Capital Region,Greene,4100,1146,02/08/2021
North Country,Hamilton,1413,199,02/08/2021
Mohawk Valley,Herkimer,7121,2126,02/08/2021
North Country,Jefferson,11702,4157,02/08/2021
New York City,Kings,149310,43744,02/08/2021
North Country,Lewis,2995,1044,02/08/2021
Finger Lakes,Livingston,6938,2610,02/08/2021
Central New York,Madison,7749,3143,02/08/2021
Finger Lakes,Monroe,78865,31454,02/08/2021
Mohawk Valley,Montgomery,5164,2199,02/08/2021
Long Island,Nassau,164679,62162,02/08/2021
New York City,New York,180838,60875,02/08/2021
Western New York,Niagara,20676,7372,02/08/2021
Mohawk Valley,Oneida,28435,11247,02/08/2021
Central New York,Onondaga,60860,20283,02/08/2021
Finger Lakes,Ontario,12600,4616,02/08/2021
Mid-Hudson,Orange,22945,10071,02/08/2021
Finger Lakes,Orleans,2784,898,02/08/2021
Central New York,Oswego,12293,3427,02/08/2021
Mohawk Valley,Otsego,6835,3004,02/08/2021
Mid-Hudson,Putnam,8983,3668,02/08/2021
New York City,Queens,170289,51376,02/08/2021
Capital Region,Rensselaer,17734,6696,02/08/2021
New York City,Richmond,48777,12942,02/08/2021
Mid-Hudson,Rockland,31279,10732,02/08/2021
Capital Region,Saratoga,25865,10977,02/08/2021
Capital Region,Schenectady,16064,7173,02/08/2021
Mohawk Valley,Schoharie,2297,761,02/08/2021
Southern Tier,Schuyler,1883,756,02/08/2021
Finger Lakes,Seneca,3210,776,02/08/2021
North Country,St. Lawrence,17410,5842,02/08/2021
Southern Tier,Steuben,6944,2489,02/08/2021
Long Island,Suffolk,134865,57579,02/08/2021
Mid-Hudson,Sullivan,5686,2225,02/08/2021
Southern Tier,Tioga,3549,1344,02/08/2021
Southern Tier,Tompkins,10216,3688,02/08/2021
Mid-Hudson,Ulster,15440,5948,02/08/2021
Capital Region,Warren,7403,3041,02/08/2021
Capital Region,Washington,4855,1872,02/08/2021
Finger Lakes,Wayne,8192,2756,02/08/2021
Mid-Hudson,Westchester,104562,43627,02/08/2021
Finger Lakes,Wyoming,3464,1343,02/08/2021
Finger Lakes,Yates,2385,793,02/08/2021
Capital Region,Albany,35137,16069,02/09/2021
Western New York,Allegany,2690,1198,02/09/2021
New York City,Bronx,81157,29746,02/09/2021
Southern Tier,Broome,23639,8578,02/09/2021
Western New York,Cattaraugus,5641,2581,02/09/2021
Central New York,Cayuga,8560,2960,02/09/2021
Western New York,Chautauqua,10803,4004,02/09/2021
Southern Tier,Chemung,8253,3528,02/09/2021
Southern Tier,Chenango,4129,1408,02/09/2021
North Country,Clinton,13055,4470,02/09/2021
Capital Region,Columbia,5943,2070,02/09/2021
Central New York,Cortland,4323,1618,02/09/2021
Southern Tier,Delaware,3020,1010,02/09/2021
Mid-Hudson,Dutchess,23508,9824,02/09/2021
Western New York,Erie,99764,40913,02/09/2021
North Country,Essex,5551,1649,02/09/2021
North Country,Franklin,7134,2747,02/09/2021
Mohawk Valley,Fulton,4678,1970,02/09/2021
Finger Lakes,Genesee,5628,1724,02/09/2021
Capital Region,Greene,4166,1206,02/09/2021
North Country,Hamilton,1415,216,02/09/2021
Mohawk Valley,Herkimer,7277,2296,02/09/2021
North Country,Jefferson,12135,4367,02/09/2021
New York City,Kings,152055,48332,02/09/2021
North Country,Lewis,3046,1251,02/09/2021
Finger Lakes,Livingston,6995,2834,02/09/2021
Central New York,Madison,8100,3428,02/09/2021
Finger Lakes,Monroe,80205,33028,02/09/2021
Mohawk Valley,Montgomery,5257,2241,02/09/2021
Long Island,Nassau,167849,68548,02/09/2021
New York City,New York,183979,66322,02/09/2021
Western New York,Niagara,20916,8265,02/09/2021
Mohawk Valley,Oneida,29026,12192,02/09/2021
Central New York,Onondaga,61941,22116,02/09/2021
Finger Lakes,Ontario,12938,4963,02/09/2021
Mid-Hudson,Orange,23530,10926,02/09/2021
Finger Lakes,Orleans,2888,971,02/09/2021
Central New York,Oswego,12466,3642,02/09/2021
Mohawk Valley,Otsego,6929,3143,02/09/2021
Mid-Hudson,Putnam,9159,3906,02/09/2021
New York City,Queens,173503,56197,02/09/2021
Capital Region,Rensselaer,18007,7048,02/09/2021
New York City,Richmond,49483,14207,02/09/2021
Mid-Hudson,Rockland,31803,12326,02/09/2021
Capital Region,Saratoga,26472,11562,02/09/2021
Capital Region,Schenectady,16368,7500,02/09/2021
Mohawk Valley,Schoharie,2344,834,02/09/2021
Southern Tier,Schuyler,1898,768,02/09/2021
Finger Lakes,Seneca,3259,818,02/09/2021
North Country,St. Lawrence,17818,6266,02/09/2021
Southern Tier,Steuben,7114,2681,02/09/2021
Long Island,Suffolk,137783,61580,02/09/2021
Mid-Hudson,Sullivan,5732,2412,02/09/2021
Southern Tier,Tioga,3678,1479,02/09/2021
Southern Tier,Tompkins,10462,3722,02/09/2021
Mid-Hudson,Ulster,15728,6586,02/09/2021
Capital Region,Warren,7603,3276,02/09/2021
Capital Region,Washington,4956,2083,02/09/2021
Finger Lakes,Wayne,8295,3014,02/09/2021
Mid-Hudson,Westchester,106370,46711,02/09/2021
Finger Lakes,Wyoming,3482,1594,02/09/2021
Finger Lakes,Yates,2486,820,02/09/2021
Capital Region,Albany,36114,16907,02/10/2021
Western New York,Allegany,2801,1336,02/10/2021
New York City,Bronx,82905,32358,02/10/2021
Southern Tier,Broome,24082,9099,02/10/2021
Western New York,Cattaraugus,5844,2795,02/10/2021
Central New York,Cayuga,8741,3254,02/10/2021
Western New York,Chautauqua,10960,4538,02/10/2021
Southern Tier,Chemung,8603,3891,02/10/2021
Southern Tier,Chenango,4293,1434,02/10/2021
North Country,Clinton,13274,4822,02/10/2021
Capital Region,Columbia,6062,2381,02/10/2021
Central New York,Cortland,4403,1776,02/10/2021
Southern Tier,Delaware,3070,1069,02/10/2021
Mid-Hudson,Dutchess,24000,10419,02/10/2021
Western New York,Erie,100991,44330,02/10/2021
North Country,Essex,5734,1812,02/10/2021
North Country,Franklin,7266,2885,02/10/2021
Mohawk Valley,Fulton,4741,2177,02/10/2021
Finger Lakes,Genesee,5724,1895,02/10/2021
Capital Region,Greene,4230,1258,02/10/2021
North Country,Hamilton,1432,222,02/10/2021
Mohawk Valley,Herkimer,7484,2453,02/10/2021
North Country,Jefferson,12309,4494,02/10/2021
